Algorithme : JDE_Simple
Fonction : f12
Run : 20
Meilleur résultat final : 1478774.2973376166

--- HISTORIQUE CONVERGENCE (FES, best) ---
1000	33181107135.057842
2000	13063922037.20439
3000	6358254471.5535965
4000	3405607614.1894093
5000	1929403568.6926386
6000	453858758.73726857
7000	453858758.73726857
8000	430479832.4437971
9000	257085564.36921567
10000	129001108.78037213
11000	99754730.14008437
12000	99754730.14008437
13000	38177371.91315597
14000	38176233.661607936
15000	37293418.67992629
16000	25523255.38188597
17000	24848323.143102277
18000	18652669.884459674
19000	14623118.310646357
20000	8206828.6390565
21000	7776163.142952297
22000	6341503.1191707
23000	5431449.027609427
24000	4372190.450430996
25000	3619734.432962204
26000	3127582.4236843027
27000	2623279.8442977504
28000	1904706.3583155442
29000	1637711.8183438522
30000	1478774.2973376166
