Algorithme : JDE_Simple
Fonction : f26
Run : 12
Meilleur résultat final : 5253.718212602116

--- HISTORIQUE CONVERGENCE (FES, best) ---
1000	7996.609320547958
2000	6649.591478712904
3000	6202.313092307756
4000	5935.230863748167
5000	5935.230863748167
6000	5934.24479229167
7000	5803.754957667527
8000	5803.754957667527
9000	5803.754957667527
10000	5803.754957667527
11000	5803.754957667527
12000	5803.754957667527
13000	5803.754957667527
14000	5803.754957667527
15000	5703.795775142719
16000	5692.132882522367
17000	5676.262339510293
18000	5657.552059283191
19000	5657.552059283191
20000	5488.713585639905
21000	5353.708701435868
22000	5353.708701435868
23000	5353.708701435868
24000	5353.708701435868
25000	5353.708701435868
26000	5253.718212602116
27000	5253.718212602116
28000	5253.718212602116
29000	5253.718212602116
30000	5253.718212602116
